"Alpha","Beta","Gamma","b","products_1","charge_pdt_1","products_2","charge_pdt_2","Product_3","charge_pdt_3","react_type"
"90","0","0","4.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.10","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.20","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.30","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.40","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.60","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.70","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.80","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.90","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.10","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.20","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.30","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.40","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.60","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.70","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.80","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.90","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.10","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.20","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.30","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.40","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.60","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.70","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.80","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.90","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.10","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.20","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.30","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.40","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.60","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.70","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.80","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.90","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.10","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.20","C2H4","NA","NA","NA","P","NA","1"
